Id,name,year,number of 4,number of 6,team,win,loss,draw
2177,d,1999,6,0,ee,0,0,1
2178,s,2006,24,9,ee,0,0,1
2179,h,1995,13,4,ee,1,0,0
2180,k,2004,23,0,aa,1,0,0
2181,w,1991,14,10,dd,0,0,1
2182,y,1998,8,4,aa,0,1,0
2183,g,2010,18,14,bb,0,0,1
2184,m,2007,19,2,cc,0,1,0
2185,p,1992,25,4,aa,0,1,0
2186,w,2004,24,10,bb,1,0,0
2187,m,1997,8,3,bb,0,1,0
2188,v,2001,2,3,dd,0,0,1
2189,m,1999,7,8,dd,0,0,1
2190,p,1995,14,10,bb,0,0,1
2191,t,1988,24,0,aa,0,0,1
2192,z,2009,13,10,dd,1,0,0
2193,z,1997,2,8,aa,0,1,0
2194,n,1999,3,13,aa,0,0,1
2195,u,2006,25,6,aa,1,0,0
2196,z,1999,17,15,ee,0,0,1
2197,e,1993,22,1,aa,0,1,0
2198,v,2003,15,15,aa,0,0,1
2199,z,1991,13,0,cc,0,0,1
2200,p,2009,20,11,bb,0,0,1
2201,q,1995,20,14,ee,1,0,0
2202,a,1996,15,13,bb,0,0,1
2203,i,1989,25,10,cc,0,0,1
2204,g,2009,8,12,ee,0,1,0
2205,f,2008,11,1,cc,1,0,0
2206,v,2009,22,5,bb,1,0,0
2207,p,1998,0,13,aa,0,0,1
2208,n,2009,24,10,dd,1,0,0
2209,f,2008,1,9,dd,0,0,1
2210,j,1995,8,0,aa,0,0,1
2211,r,2001,5,3,dd,0,1,0
2212,k,1998,14,6,aa,0,1,0
2213,m,2007,6,6,aa,1,0,0
2214,j,2002,23,3,ee,1,0,0
2215,m,1990,19,3,ee,0,0,1
2216,j,1997,5,12,cc,0,0,1
2217,b,1999,1,14,cc,1,0,0
2218,v,1996,5,14,cc,1,0,0
2219,u,1998,15,2,aa,0,1,0
2220,d,1992,18,4,dd,0,0,1
2221,x,2003,20,9,bb,0,0,1
2222,u,2006,21,1,aa,1,0,0
2223,s,2000,11,8,ee,1,0,0
2224,k,1991,13,2,dd,0,1,0
2225,s,2007,15,3,bb,1,0,0
2226,d,2001,6,2,bb,1,0,0
2227,v,2007,14,11,dd,1,0,0
2228,y,2004,23,14,bb,0,1,0
2229,n,2006,18,8,bb,1,0,0
2230,r,2010,13,5,cc,0,0,1
2231,h,1994,6,2,aa,0,0,1
2232,r,2005,22,10,aa,0,0,1
2233,w,1992,11,9,bb,1,0,0
2234,g,1988,13,2,cc,0,0,1
2235,v,1997,22,10,bb,0,1,0
2236,j,2003,12,2,bb,0,1,0
2237,l,1988,13,11,ee,0,0,1
2238,o,1989,19,1,aa,0,1,0
2239,g,1994,21,2,cc,0,0,1
2240,m,2001,3,4,ee,1,0,0
2241,s,2009,16,6,bb,1,0,0
2242,u,1988,9,13,cc,0,0,1
2243,k,1991,2,3,ee,1,0,0
2244,p,1998,4,7,bb,0,1,0
2245,z,1997,24,6,dd,0,1,0
2246,y,1990,9,13,dd,0,0,1
2247,p,1990,13,11,ee,0,0,1
2248,y,1988,1,5,cc,0,1,0
2249,a,2006,21,5,dd,0,0,1
2250,z,1990,10,13,cc,0,0,1
2251,f,1992,6,7,cc,0,1,0
2252,x,1997,10,7,aa,0,0,1
2253,k,1996,22,10,ee,0,0,1
2254,n,2005,8,6,aa,1,0,0
2255,u,1998,19,0,bb,0,1,0
2256,w,2003,14,1,bb,1,0,0
2257,r,1994,25,2,ee,0,1,0
2258,i,1988,21,1,ee,1,0,0
2259,g,2009,21,0,cc,0,0,1
2260,u,2005,18,13,aa,0,1,0
2261,p,1995,20,11,bb,0,0,1
2262,f,2008,0,1,dd,0,1,0
2263,k,2002,7,5,dd,0,0,1
2264,y,1996,12,15,dd,0,0,1
2265,f,2008,11,10,bb,0,0,1
2266,b,1996,8,1,ee,0,1,0
2267,b,1993,12,6,ee,1,0,0
2268,n,1988,19,14,bb,0,0,1
2269,f,1990,6,11,bb,0,1,0
2270,j,2006,5,6,bb,0,0,1
2271,w,1991,16,12,aa,0,1,0
2272,b,2001,25,5,aa,1,0,0
2273,e,1989,20,4,aa,1,0,0
2274,c,2005,13,15,dd,0,0,1
2275,f,1996,6,14,dd,0,0,1
2276,j,1994,9,15,dd,0,1,0
2277,z,1999,20,3,dd,0,0,1
2278,j,1993,24,2,aa,1,0,0
2279,r,1996,2,2,bb,0,0,1
2280,i,1991,2,11,ee,0,1,0
2281,t,2006,8,7,ee,0,1,0
2282,v,2004,21,14,dd,0,1,0
2283,h,2008,3,8,bb,1,0,0
2284,a,2001,0,4,cc,0,1,0
2285,p,1999,1,1,bb,1,0,0
2286,q,2005,24,1,bb,0,0,1
2287,e,1996,7,7,aa,1,0,0
2288,a,1999,18,3,aa,0,0,1
2289,m,1988,5,11,dd,0,1,0
2290,j,2009,15,13,dd,0,0,1
2291,i,1998,5,13,ee,0,1,0
2292,w,2002,22,11,dd,0,0,1
2293,v,2002,15,3,cc,0,1,0
2294,c,1998,16,6,ee,0,0,1
2295,y,1993,6,15,ee,1,0,0
2296,z,1999,22,0,aa,1,0,0
2297,u,1988,10,6,bb,1,0,0
2298,w,2002,6,7,cc,0,0,1
2299,s,2001,20,0,aa,0,1,0
2300,v,1998,19,12,bb,0,0,1
2301,o,2007,9,0,cc,0,1,0
2302,v,1998,10,8,aa,0,1,0
2303,x,1997,20,13,aa,0,0,1
2304,f,1999,16,1,aa,0,0,1
2305,v,2000,24,7,bb,0,0,1
2306,v,1989,5,8,dd,0,0,1
2307,o,2004,20,1,bb,0,0,1
2308,n,1995,17,10,ee,1,0,0
2309,h,1995,12,2,bb,0,1,0
2310,m,1993,3,8,aa,0,0,1
2311,b,1997,6,13,cc,0,0,1
2312,l,2000,8,6,bb,0,1,0
2313,d,1995,8,7,cc,0,1,0
2314,a,2004,20,13,aa,1,0,0
2315,i,2007,9,15,dd,0,0,1
2316,v,2001,25,8,cc,0,1,0
2317,y,1991,22,0,cc,0,1,0
2318,a,2004,7,13,aa,0,0,1
2319,j,2003,2,8,ee,1,0,0
2320,m,2003,19,15,bb,0,0,1
2321,f,2010,0,4,bb,1,0,0
2322,g,2008,1,7,ee,1,0,0
2323,d,1999,1,11,ee,0,1,0
2324,f,2007,22,10,cc,0,1,0
2325,x,1991,14,9,aa,1,0,0
2326,f,2003,18,11,ee,0,1,0
2327,k,2009,9,13,ee,1,0,0
2328,i,1992,7,2,ee,1,0,0
2329,f,1996,19,14,cc,1,0,0
2330,t,2001,19,3,aa,1,0,0
2331,v,2009,3,13,aa,0,0,1
2332,p,2002,5,13,ee,0,0,1
2333,v,1997,12,0,aa,0,0,1
2334,m,2009,17,10,aa,0,0,1
2335,u,1991,19,0,cc,0,0,1
2336,u,1991,1,0,ee,0,0,1
2337,c,2001,22,8,cc,1,0,0
2338,o,1993,21,7,aa,1,0,0
2339,l,2008,13,8,dd,0,0,1
2340,k,1995,13,1,dd,0,0,1
2341,z,1995,14,3,aa,1,0,0
2342,j,1995,23,15,aa,0,1,0
2343,i,1999,0,7,cc,0,0,1
2344,g,2000,13,14,cc,1,0,0
2345,h,1991,15,11,ee,0,1,0
2346,w,2008,9,14,bb,0,1,0
2347,s,2007,15,0,aa,0,0,1
2348,n,1997,5,12,ee,0,0,1
2349,t,2001,11,14,aa,0,0,1
2350,j,2001,16,2,cc,0,0,1
2351,b,2004,13,9,ee,0,0,1
2352,g,2004,9,11,cc,0,1,0
2353,h,1991,8,12,aa,1,0,0
2354,z,2001,8,0,dd,0,0,1
2355,g,1988,19,8,bb,1,0,0
2356,m,1999,14,0,aa,0,1,0
2357,z,1997,23,13,aa,0,0,1
2358,i,2005,22,0,bb,0,0,1
2359,z,2007,8,5,cc,1,0,0
2360,i,2007,12,9,ee,0,1,0
2361,f,2004,25,5,aa,0,1,0
2362,g,2000,22,1,bb,0,1,0
2363,j,2000,2,13,aa,0,1,0
2364,r,2008,17,0,cc,0,1,0
2365,h,1989,10,12,aa,0,0,1
2366,l,2008,12,4,bb,1,0,0
2367,l,2003,9,3,ee,1,0,0
2368,f,1989,16,6,bb,1,0,0
2369,a,2006,22,2,bb,0,1,0
2370,a,2004,22,3,ee,0,1,0
2371,w,1998,17,10,dd,1,0,0
2372,l,1989,16,7,bb,0,1,0
2373,g,2009,12,10,cc,0,1,0
2374,l,2010,16,12,bb,0,1,0
2375,a,2006,3,14,aa,0,1,0
2376,b,2008,4,2,ee,1,0,0
2377,s,1992,24,9,ee,0,1,0
2378,w,1996,13,1,dd,0,0,1
2379,o,2003,3,11,cc,0,1,0
2380,m,2003,18,4,dd,0,1,0
2381,q,1997,0,11,bb,0,1,0
2382,w,1995,14,12,ee,1,0,0
2383,x,1993,7,10,aa,0,1,0
2384,v,2007,10,4,bb,1,0,0
2385,t,1993,23,1,dd,0,0,1
2386,u,1994,22,14,ee,1,0,0
2387,w,1993,5,2,ee,0,1,0
2388,x,1989,22,0,dd,0,0,1
2389,o,2004,19,13,bb,0,1,0
2390,t,2003,16,8,aa,1,0,0
2391,l,1994,17,2,cc,1,0,0
2392,v,2000,13,13,dd,1,0,0
2393,a,1995,6,2,dd,0,0,1
2394,a,1991,18,13,aa,1,0,0
2395,q,1996,12,2,aa,0,0,1
2396,g,1993,18,11,dd,0,0,1
2397,h,1991,6,9,ee,0,1,0
2398,z,2009,0,3,cc,1,0,0
2399,u,1995,7,2,aa,0,1,0
2400,i,2002,13,0,aa,0,0,1
2401,o,1990,13,13,bb,0,1,0
2402,w,1998,8,3,ee,0,1,0
2403,z,2004,9,12,bb,0,1,0
2404,n,2005,3,14,dd,0,1,0
2405,r,1991,21,4,aa,0,0,1
2406,c,1997,4,13,bb,0,1,0
2407,z,2003,12,2,bb,0,1,0
2408,x,2010,24,1,cc,0,1,0
2409,q,2000,18,2,bb,0,1,0
2410,e,1988,19,10,cc,1,0,0
2411,b,2007,7,11,aa,0,1,0
2412,s,1990,6,12,bb,1,0,0
2413,f,1998,8,9,dd,0,1,0
2414,q,2007,5,4,ee,1,0,0
2415,v,1999,19,1,cc,0,0,1
2416,t,2005,23,1,ee,0,0,1
2417,w,1993,12,11,aa,1,0,0
2418,d,2004,15,1,cc,0,0,1
2419,e,2006,7,5,aa,0,0,1
2420,l,2006,6,13,bb,1,0,0
2421,p,1997,13,14,bb,0,0,1
2422,n,1992,3,14,bb,0,1,0
2423,n,2006,7,8,dd,1,0,0
2424,c,2004,18,0,bb,1,0,0
2425,e,2005,14,11,bb,1,0,0
2426,v,2010,10,3,ee,1,0,0
2427,p,2002,1,4,aa,1,0,0
2428,p,2003,19,2,bb,1,0,0
2429,y,1995,17,15,dd,0,0,1
2430,m,1993,16,8,dd,0,1,0
2431,g,1995,23,5,aa,0,1,0
2432,e,2004,4,11,aa,0,1,0
2433,a,2009,14,4,ee,0,0,1
2434,r,1996,12,4,aa,0,1,0
2435,m,1988,4,11,cc,1,0,0
2436,x,2006,25,1,cc,1,0,0
2437,g,1995,7,15,dd,0,0,1
2438,w,2009,18,6,cc,0,0,1
2439,t,2006,20,11,bb,1,0,0
2440,i,1997,0,0,bb,0,0,1
2441,s,1997,18,8,aa,0,1,0
2442,w,1993,0,12,dd,0,1,0
2443,y,1992,0,7,aa,1,0,0
2444,s,2007,21,0,dd,0,0,1
2445,w,1999,3,12,dd,1,0,0
2446,i,2003,16,8,ee,0,0,1
2447,f,1991,5,5,dd,1,0,0
2448,m,1996,6,3,aa,1,0,0
2449,x,1991,9,2,aa,0,1,0
2450,k,2006,8,1,aa,1,0,0
2451,f,1993,25,12,aa,0,1,0
2452,n,2006,14,2,dd,0,0,1
2453,s,1997,9,9,dd,1,0,0
2454,f,2008,13,1,dd,1,0,0
2455,k,2004,11,0,cc,0,1,0
2456,v,1993,0,10,dd,1,0,0
2457,n,2009,15,2,cc,0,1,0
2458,k,2002,4,3,dd,0,1,0
2459,n,1992,22,14,aa,1,0,0
2460,l,1995,1,10,ee,1,0,0
2461,b,1991,23,11,dd,0,1,0
2462,v,1990,23,2,ee,0,0,1
2463,s,1998,13,14,bb,1,0,0
2464,k,2001,15,2,ee,0,1,0
2465,a,1996,4,10,cc,0,1,0
2466,v,1996,24,5,cc,1,0,0
2467,w,1992,22,9,cc,0,1,0
2468,m,1997,9,14,bb,0,0,1
2469,b,1994,14,14,aa,0,1,0
2470,z,1993,4,8,dd,0,0,1
2471,t,1992,15,2,dd,1,0,0
2472,b,1992,23,5,bb,1,0,0
2473,p,2006,18,15,cc,0,0,1
2474,o,2006,19,10,ee,0,0,1
2475,s,2003,7,13,cc,0,1,0
2476,q,1991,0,5,ee,0,1,0
2477,m,2004,2,5,dd,1,0,0
2478,t,2010,24,15,bb,1,0,0
2479,m,2008,13,9,dd,0,1,0
2480,i,1990,20,0,bb,0,0,1
2481,f,1990,24,5,aa,0,1,0
2482,g,1991,0,2,ee,0,0,1
2483,e,1998,24,12,aa,1,0,0
2484,j,2003,17,12,dd,0,0,1
2485,s,2005,1,9,ee,1,0,0
2486,h,2010,19,6,cc,0,0,1
2487,o,2005,15,13,ee,0,0,1
2488,x,1995,3,4,ee,0,0,1
2489,x,1989,21,5,ee,0,1,0
2490,c,2000,22,4,dd,0,1,0
2491,r,1994,6,2,dd,0,0,1
2492,j,1991,0,14,ee,0,0,1
2493,j,1997,17,3,bb,0,0,1
2494,i,1992,4,14,bb,1,0,0
2495,x,1995,16,0,ee,1,0,0
2496,q,1997,4,9,cc,0,0,1
2497,y,2002,19,6,ee,1,0,0
2498,l,1992,9,2,bb,0,0,1
2499,z,1992,12,13,bb,0,0,1
2500,v,1997,4,2,ee,1,0,0
2501,r,1989,11,9,cc,0,0,1
2502,r,1996,24,5,bb,0,1,0
2503,e,1993,8,4,ee,1,0,0
2504,p,1991,1,4,dd,1,0,0
2505,d,2004,12,1,dd,1,0,0
2506,m,1989,14,6,cc,0,0,1
2507,u,2009,22,6,bb,0,1,0
2508,z,2001,4,9,bb,0,1,0
2509,a,1998,20,14,ee,0,0,1
2510,u,1996,0,2,aa,0,1,0
2511,y,2010,14,10,ee,1,0,0
2512,j,1996,14,10,bb,1,0,0
2513,o,1997,14,2,bb,0,0,1
2514,t,1993,1,1,aa,1,0,0
2515,p,2000,8,12,dd,0,1,0
2516,i,1994,16,10,bb,0,0,1
2517,j,1990,0,11,dd,0,0,1
2518,m,2000,17,8,cc,0,0,1
2519,m,2008,7,15,dd,0,1,0
2520,q,1989,15,14,ee,0,1,0
2521,v,2008,5,11,aa,0,0,1
2522,r,1999,21,8,dd,0,0,1
2523,k,1988,4,12,aa,0,1,0
2524,t,2005,15,13,dd,0,0,1
2525,x,2008,25,5,ee,0,1,0
2526,j,1990,14,3,cc,1,0,0
2527,g,2002,20,5,aa,1,0,0
2528,f,2004,13,0,bb,0,1,0
2529,r,2004,15,13,aa,0,0,1
2530,a,2010,15,12,aa,0,0,1
2531,j,2006,6,1,ee,0,1,0
2532,r,1997,14,0,cc,0,0,1
2533,r,2006,15,10,bb,1,0,0
2534,a,1999,9,5,bb,0,1,0
2535,e,1991,6,9,ee,1,0,0
2536,q,1994,14,5,bb,1,0,0
2537,z,2010,1,7,aa,0,0,1
2538,j,2001,18,7,aa,1,0,0
2539,s,1994,20,8,dd,1,0,0
2540,t,2003,13,9,dd,0,1,0
2541,i,1999,6,1,ee,0,1,0
2542,r,2000,21,11,dd,1,0,0
2543,a,1996,2,1,cc,0,0,1
2544,y,2004,16,6,bb,1,0,0
2545,g,1989,8,5,aa,0,0,1
2546,j,1995,25,2,dd,1,0,0
2547,r,1990,19,0,ee,0,0,1
2548,u,1998,13,11,ee,0,1,0
2549,q,2003,22,8,bb,0,0,1
2550,k,1996,15,9,ee,0,0,1
2551,e,2007,24,6,dd,0,0,1
2552,l,2004,14,3,bb,0,1,0
2553,y,1993,3,15,ee,0,0,1
2554,k,1989,14,0,bb,0,1,0
2555,r,2005,22,7,ee,1,0,0
2556,q,2008,2,2,cc,1,0,0
2557,l,2008,3,14,dd,0,1,0
2558,n,1993,0,2,bb,0,0,1
2559,p,2002,4,5,dd,0,0,1
2560,d,2010,10,11,ee,1,0,0
2561,g,2001,1,15,cc,0,1,0
2562,p,2000,7,4,ee,1,0,0
2563,i,2002,3,7,dd,0,0,1
2564,v,1998,7,11,aa,0,0,1
2565,l,1993,19,3,bb,0,1,0
2566,b,1993,15,2,aa,1,0,0
2567,k,2000,19,6,aa,0,1,0
2568,y,2001,13,3,bb,0,1,0
2569,t,2004,7,5,bb,0,1,0
2570,n,2007,14,10,bb,1,0,0
2571,m,2002,7,3,aa,1,0,0
2572,b,2007,22,10,ee,0,1,0
2573,k,1999,25,4,dd,1,0,0
2574,z,1988,1,3,cc,0,1,0
2575,u,1998,2,13,cc,1,0,0
2576,q,2006,3,11,cc,0,0,1
2577,a,1994,5,1,bb,0,0,1
2578,w,2000,8,3,bb,1,0,0
2579,k,1988,16,3,cc,0,1,0
2580,i,2006,8,11,dd,0,1,0
2581,j,2007,8,8,dd,1,0,0
2582,y,2004,0,7,ee,1,0,0
2583,z,2007,23,5,aa,0,0,1
2584,k,2007,5,12,ee,0,1,0
2585,y,1993,9,10,cc,0,1,0
2586,f,1992,10,7,bb,1,0,0
2587,i,2007,11,12,aa,0,1,0
2588,b,1992,10,7,dd,1,0,0
2589,b,1989,3,3,ee,1,0,0
2590,w,2002,2,5,dd,0,1,0
2591,t,1997,23,2,ee,0,0,1
2592,z,1988,1,1,bb,1,0,0
2593,v,2001,17,8,dd,0,1,0
2594,z,1991,3,7,ee,1,0,0
2595,w,2004,15,9,bb,1,0,0
2596,p,1997,25,11,aa,0,1,0
2597,a,1993,20,0,bb,0,1,0
2598,p,1999,18,15,aa,0,0,1
2599,a,1993,21,13,ee,0,0,1
2600,b,2006,0,12,aa,0,1,0
2601,u,1988,15,4,ee,0,1,0
2602,z,1988,14,0,bb,0,0,1
2603,w,2006,2,15,ee,0,0,1
2604,g,1998,22,10,cc,1,0,0
2605,i,1993,12,0,cc,0,1,0
2606,i,2003,17,9,bb,0,1,0
2607,x,2009,1,14,dd,1,0,0
2608,r,1990,23,15,dd,1,0,0
2609,s,2000,8,11,bb,0,0,1
2610,o,1999,4,1,dd,0,1,0
2611,i,1992,17,12,ee,0,0,1
2612,t,2001,7,10,dd,0,0,1
2613,f,1993,14,2,ee,0,1,0
2614,x,2004,8,2,aa,0,1,0
2615,z,2002,25,15,aa,1,0,0
2616,m,2003,22,3,dd,0,0,1
2617,b,2003,0,3,dd,0,1,0
2618,r,2008,6,0,aa,0,1,0
2619,f,1993,25,5,dd,1,0,0
2620,b,2006,20,11,aa,1,0,0
2621,d,2002,10,9,ee,0,0,1
2622,l,1997,23,15,dd,1,0,0
2623,b,1994,2,1,cc,0,0,1
2624,e,2000,3,9,dd,0,0,1
2625,v,1994,25,3,ee,0,1,0
2626,g,1989,22,14,ee,0,0,1
2627,f,2008,12,6,dd,1,0,0
2628,p,1996,11,2,dd,0,0,1
2629,l,1991,9,12,dd,1,0,0
2630,d,2008,7,2,bb,0,0,1
2631,l,1989,14,3,cc,0,0,1
2632,t,2010,18,10,cc,0,0,1
2633,n,1997,4,5,bb,0,0,1
2634,f,1988,21,9,ee,0,0,1
2635,h,2008,11,10,ee,0,1,0
2636,g,1997,6,5,bb,0,0,1
2637,h,2009,2,12,aa,0,1,0
2638,g,2005,17,15,cc,0,0,1
2639,e,2004,20,9,cc,1,0,0
2640,o,2000,9,13,dd,1,0,0
2641,c,2010,4,7,aa,0,1,0
2642,p,2003,9,5,dd,0,0,1
2643,c,1996,11,15,aa,0,1,0
2644,u,2010,4,5,aa,0,0,1
2645,w,1992,24,13,ee,1,0,0
2646,h,1992,24,11,cc,0,0,1
2647,f,1991,4,12,bb,0,1,0
2648,s,2006,10,13,bb,1,0,0
2649,j,1997,15,2,aa,0,0,1
2650,q,2005,18,5,bb,0,1,0
2651,d,2003,20,0,cc,0,1,0
2652,g,2002,21,2,bb,0,0,1
2653,h,1990,19,2,dd,0,0,1
2654,d,1991,6,2,bb,0,0,1
2655,f,2004,21,6,bb,0,1,0
2656,x,2010,10,5,dd,0,1,0
2657,j,2009,1,5,aa,0,1,0
2658,n,1994,5,14,bb,1,0,0
2659,p,1994,16,11,bb,0,1,0
2660,r,1995,6,10,ee,0,1,0
2661,i,2007,21,10,cc,0,0,1
2662,u,2007,5,2,aa,0,0,1
2663,s,1996,17,15,dd,1,0,0
2664,c,1988,13,8,dd,0,0,1
2665,l,1996,0,3,cc,1,0,0
2666,m,1994,21,7,aa,1,0,0
2667,f,2007,14,5,ee,1,0,0
2668,f,2005,11,14,aa,0,1,0
2669,e,2000,1,11,bb,1,0,0
2670,u,1995,7,1,aa,1,0,0
2671,h,1999,15,4,cc,1,0,0
2672,t,2008,18,11,cc,0,0,1
2673,z,1997,8,2,aa,0,1,0
2674,o,2001,4,3,aa,0,1,0
2675,z,1994,6,5,ee,0,1,0
2676,n,2008,11,0,bb,0,1,0
2677,p,2005,8,5,aa,1,0,0
2678,k,2005,23,6,ee,0,0,1
2679,r,1997,7,6,dd,0,0,1
2680,e,2004,18,8,bb,1,0,0
2681,y,1990,25,3,aa,1,0,0
2682,u,1990,1,15,cc,1,0,0
2683,e,1991,16,2,dd,0,1,0
2684,i,1991,7,7,ee,0,0,1
2685,i,2003,23,15,ee,0,1,0
2686,c,2000,8,11,aa,1,0,0
2687,e,1995,3,3,cc,0,0,1
2688,u,2004,8,9,cc,0,1,0
2689,q,1989,15,1,dd,0,0,1
2690,c,1994,24,8,aa,0,0,1
2691,c,2005,0,3,aa,1,0,0
2692,p,2008,23,10,dd,0,1,0
2693,q,1997,10,12,aa,0,0,1
2694,z,2010,2,5,ee,0,0,1
2695,r,2006,21,12,ee,1,0,0
2696,m,1998,1,2,ee,0,0,1
2697,b,1992,15,7,dd,0,0,1
2698,c,1991,21,13,bb,1,0,0
2699,x,2006,6,9,aa,0,0,1
2700,k,2003,11,10,ee,1,0,0
2701,e,1997,15,8,bb,1,0,0
2702,y,2009,2,12,cc,1,0,0
2703,p,1991,22,11,dd,1,0,0
2704,o,1993,16,9,cc,0,1,0
2705,g,1989,6,8,aa,1,0,0
2706,z,1993,4,0,aa,1,0,0
2707,q,2003,21,13,aa,0,0,1
2708,c,1998,16,2,dd,1,0,0
2709,s,1990,25,0,aa,0,0,1
2710,z,1997,25,0,bb,0,0,1
2711,c,1991,22,0,aa,0,0,1
2712,o,1990,12,3,cc,0,1,0
2713,z,2010,13,12,cc,0,1,0
2714,f,1998,23,9,bb,0,0,1
2715,z,1988,5,5,bb,1,0,0
2716,r,1998,14,11,aa,0,1,0
2717,f,2005,14,5,aa,0,1,0
2718,y,1998,10,9,aa,0,0,1
2719,d,1994,13,12,aa,0,0,1
2720,j,1998,14,4,dd,1,0,0
2721,v,2002,7,12,dd,0,0,1
2722,u,2001,13,15,bb,0,1,0
2723,j,1989,15,7,dd,0,1,0
2724,y,2007,17,4,ee,0,0,1
2725,i,1994,10,8,cc,0,1,0
2726,s,2002,0,7,dd,1,0,0
2727,u,1996,23,4,bb,0,1,0
2728,e,2005,12,13,aa,0,0,1
2729,f,2006,1,8,aa,1,0,0
2730,r,1992,2,8,cc,0,0,1
2731,v,1998,18,6,ee,0,1,0
2732,p,2007,12,4,bb,0,1,0
2733,v,1995,5,6,dd,0,0,1
2734,q,2008,24,5,dd,0,1,0
2735,d,2006,13,3,cc,0,1,0
2736,h,2009,16,5,ee,0,1,0
2737,m,2003,9,10,bb,0,0,1
2738,p,2003,20,10,dd,1,0,0
2739,u,2005,8,6,ee,0,0,1
2740,h,2008,6,2,cc,1,0,0
2741,q,1993,12,10,cc,1,0,0
2742,h,1998,13,1,bb,1,0,0
2743,m,1998,13,8,dd,0,0,1
2744,d,1988,7,0,ee,1,0,0
2745,e,2002,18,7,ee,0,0,1
2746,u,2000,23,0,cc,0,0,1
2747,o,2010,24,4,ee,0,0,1
2748,u,1990,11,12,ee,0,0,1
2749,f,1995,14,8,cc,1,0,0
2750,q,1998,17,0,aa,0,1,0
2751,f,2009,12,15,ee,0,0,1
2752,y,1988,19,2,aa,1,0,0
2753,n,1997,7,8,aa,0,0,1
2754,h,2004,1,12,ee,1,0,0
2755,n,2000,5,6,aa,1,0,0
2756,k,1993,21,9,ee,0,1,0
2757,a,2003,11,0,cc,0,1,0
2758,z,2009,21,15,ee,1,0,0
2759,t,2007,7,14,cc,0,1,0
2760,b,2005,4,13,bb,0,1,0
2761,o,2008,16,14,ee,1,0,0
2762,c,2008,6,2,ee,0,0,1
2763,n,2005,24,9,dd,1,0,0
2764,r,1996,5,9,dd,0,1,0
2765,e,2004,0,8,ee,0,1,0
2766,x,2005,7,4,cc,1,0,0
2767,h,1993,0,14,cc,0,0,1
2768,d,2008,23,8,ee,0,0,1
2769,v,1995,2,3,aa,1,0,0
2770,y,2002,22,4,aa,0,1,0
2771,e,1988,19,3,dd,0,0,1
2772,p,2010,24,5,ee,1,0,0
2773,h,2006,9,4,aa,0,1,0
2774,k,2001,17,11,aa,1,0,0
2775,s,2002,5,4,ee,1,0,0
2776,l,1996,6,1,aa,0,0,1
2777,e,2000,20,15,bb,0,0,1
2778,j,1994,6,2,cc,1,0,0
2779,b,2005,12,6,ee,1,0,0
2780,o,1994,25,8,dd,0,1,0
2781,m,1989,17,1,cc,0,0,1
2782,z,1991,25,7,dd,0,1,0
2783,x,1989,12,14,ee,1,0,0
2784,m,1995,9,12,aa,0,1,0
2785,s,2002,18,8,aa,1,0,0
2786,c,1998,25,1,ee,0,0,1
2787,b,2010,5,0,ee,1,0,0
2788,n,2005,8,4,dd,0,0,1
2789,v,1989,2,13,cc,0,0,1
2790,u,1997,10,15,dd,0,1,0
2791,n,1997,21,5,cc,0,1,0
2792,z,2010,9,13,aa,0,0,1
2793,v,2008,2,13,bb,0,1,0
2794,m,1990,20,5,bb,0,0,1
2795,j,2007,19,9,bb,0,0,1
2796,t,1988,20,6,aa,1,0,0
2797,c,2004,12,8,bb,0,1,0
2798,v,1992,22,0,ee,0,0,1
2799,c,1992,13,5,cc,0,1,0
2800,i,2004,15,4,ee,0,1,0
2801,b,1990,19,4,bb,0,1,0
2802,p,2005,11,15,bb,0,1,0
2803,g,2008,4,7,aa,0,1,0
2804,a,1995,4,6,aa,0,1,0
2805,p,1998,5,15,ee,0,1,0
2806,j,2000,25,7,cc,0,0,1
2807,b,1999,13,9,cc,0,0,1
2808,g,2004,23,7,bb,1,0,0
2809,l,1992,10,2,ee,0,0,1
2810,p,2001,3,3,aa,1,0,0
2811,n,1997,22,13,bb,1,0,0
2812,l,1999,2,1,cc,0,0,1
2813,t,2009,3,5,aa,1,0,0
2814,n,2004,12,13,cc,0,1,0
2815,r,2003,12,12,dd,0,1,0
2816,w,2007,11,0,dd,1,0,0
2817,f,2004,2,13,bb,0,1,0
2818,n,1994,22,7,cc,1,0,0
2819,x,1998,2,10,aa,1,0,0
2820,e,1994,15,4,ee,0,0,1
2821,h,2001,14,9,cc,0,0,1
2822,a,2009,13,8,bb,0,0,1
2823,m,2002,2,6,bb,0,1,0
2824,c,2007,22,8,cc,0,1,0
2825,c,2003,6,10,cc,0,1,0
2826,x,2000,2,6,ee,0,1,0
2827,i,2010,0,10,aa,1,0,0
2828,e,1999,15,2,ee,0,1,0
2829,u,2000,11,15,ee,0,0,1
2830,e,2010,5,3,bb,1,0,0
2831,k,2008,15,12,cc,0,1,0
2832,z,1992,17,7,cc,1,0,0
2833,y,1997,16,12,aa,0,0,1
2834,y,1997,12,15,aa,0,1,0
2835,q,2007,2,6,aa,0,0,1
2836,e,2007,24,7,aa,1,0,0
2837,q,2001,1,9,ee,1,0,0
2838,j,1997,8,0,aa,0,1,0
2839,m,1996,23,1,bb,0,0,1
2840,w,1998,13,4,dd,0,1,0
2841,i,1989,8,8,aa,0,0,1
